lo0,lores,lofreq,freq,dec,resbin,ridx,weight,widx,noise166,flux10,snr10,hours,snravg,relnoise,noise50,noise50_ref2,psf_area,psf_sym,psf_mean,noise50k
SKA1W9-12A72B120,0,0,1100,-30,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.3,10.00,7.55,3.35,15.46,0.78,2.4,3.1,,0.85,0.06,0.5201,76
SKA1W9-12A72B120,0,0,650,-50,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.4,14.45,10.23,3.26,15.67,0.86,2.6,3,,1.8,0.08,0.7616,81
SKA1REF2,0,0,650,-10,1.0-2.0arcsec,1,robust=-2.0:taper=1.0,2,2,14.45,7.11,7.37,10.42,1.00,3.7,3.7,,5.5,0.02,1.3259,1.2e+02
SKA1W9-12A72B120,0,0,800,-10,10.0-60.0arcmin,4,natural,0,6.8,12.50,1.83,71.91,3.34,1.04,12,12,,2e+06,0.03,790.3843,3.9e+02
SKA1W9-12A72B120,0,0,650,-50,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,2.5,14.45,5.86,11.06,8.51,0.94,4.5,4.8,,33,0.01,3.2612,1.4e+02
SKA1W9-0A72B120,0,0,1100,-10,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,9.8,10.00,1.02,69.48,3.39,1.04,18,17,,1.9e+06,0.00,771.6832,5.7e+02
SKA1REF2,0,0,1100,-30,2.0-3.0arcsec,2,robust=-2.0:taper=1.0,2,2.3,10.00,4.39,10.24,8.84,1.00,4.2,4.2,,16,0.00,2.2619,1.3e+02
SKA1W9-0A72B120,0,0,800,-10,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.6,12.50,7.94,4.25,13.71,0.90,2.9,3.2,,1.3,0.07,0.6547,91
SKA1W9-0A72B120,0,0,650,-10,3.0-4.0arcsec,3,robust=-2.0:taper=1.0,2,3.5,14.45,4.17,21.65,6.08,1.14,6.3,5.6,,33,0.01,3.2617,2e+02
SKA1W9-0A72B120,0,0,800,-10,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,6.9,12.50,1.81,69.48,3.39,1.05,13,12,,2e+06,0.03,796.1982,4e+02
SKA1W9-0A72B120,0,0,800,-50,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,2.6,12.50,4.81,11.90,8.20,1.09,4.7,4.3,,16,0.00,2.2306,1.5e+02
SKA1W9-12A72B120,0,0,800,-30,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,7.4,12.50,1.69,79.41,3.17,1.04,13,13,,2e+06,0.03,789.9165,4.3e+02
SKA1W9-0A72B120,0,0,650,-10,1.0-2.0arcsec,1,robust=-2.0:taper=0,1,1.6,14.45,9.08,5.47,12.09,0.74,2.9,3.9,,4.2,0.02,1.1603,92
SKA1W9-12A72B120,0,0,800,-10,0.4-1.0arcsec,0,natural,0,0.99,12.50,12.60,1.84,20.84,0.71,1.8,2.6,,1.6,0.06,0.7033,57
SKA1REF2,0,0,800,-50,10.0-60.0arcmin,4,robust=-2.0:taper=0,1,7.1,12.50,1.76,71.01,3.36,1.00,13,13,,2e+06,0.03,788.8627,4.1e+02
SKA1W9-12A72B120,0,0,800,-30,2.0-3.0arcsec,2,robust=-2.0:taper=0,1,2.3,12.50,5.53,9.06,9.40,0.92,4.1,4.5,,16,0.01,2.2311,1.3e+02
SKA1W9-0A72B120,0,0,650,-30,0.4-1.0arcsec,0,robust=-2.0:taper=0,1,1.5,14.45,9.56,3.78,14.55,0.91,2.8,3,,1.9,0.10,0.7692,87
SKA1W9-12A72B120,0,0,650,-30,1.0-2.0arcsec,1,natural,0,1.2,14.45,12.11,3.06,16.18,0.73,2.2,3,,4.7,0.01,1.2237,69
